File name,Literal,Label,Code
cell=VT_1909_01_T-S0-A268,Woonwagens,stad almelo,11053
cell=VT_1909_01_T-S0-A269,Niet gevonden personen,stad almelo,11053
cell=VT_1909_01_T-S0-A270,Totaal,stad almelo,11053
cell=VT_1909_01_T-S0-A271,ALMKERK,almkerk,10788
cell=VT_1909_01_T-S0-A272,Wijk A. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A273,Wijk B. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A274,Wijk C. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A275,Wijk D. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A276,Wijk E. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A277,Wijk F. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A278,Wijk G. Huizen,almkerk,10788
cell=VT_1909_01_T-S0-A279,Schepen,almkerk,10788
cell=VT_1909_01_T-S0-A280,Tijd. Aanw. schepen,almkerk,10788
cell=VT_1909_01_T-S0-A281,Tijd. Aanw. Woonwagens,almkerk,10788
cell=VT_1909_01_T-S0-A282,Niet gevonden personen,almkerk,10788
cell=VT_1909_01_T-S0-A283,Totaal,almkerk,10788
cell=VT_1909_01_T-S0-A284,ALPHEN (Z.-H.),alphen,10995
cell=VT_1909_01_T-S0-A285,"Steekt, Huizen",alphen,10995
cell=VT_1909_01_T-S0-A286,"Gouwsluis, Huizen",alphen,10995
cell=VT_1909_01_T-S0-A287,"Dorp, St. Josephgesticht",alphen,10995
cell=VT_1909_01_T-S0-A288,"Dorp, de Martha stichting",alphen,10995
cell=VT_1909_01_T-S0-A289,"Dorp, Overige huizen",alphen,10995
cell=VT_1909_01_T-S0-A290,"Hoorn, Huizen",alphen,10995
cell=VT_1909_01_T-S0-A291,"Buitenwijken, Huizen",alphen,10995
cell=VT_1909_01_T-S0-A292,Schepen,alphen,10995
cell=VT_1909_01_T-S0-A293,Tijd. Aanw. schepen,alphen,10995
cell=VT_1909_01_T-S0-A294,Niet gevonden personen,alphen,10995
cell=VT_1909_01_T-S0-A295,Totaal,alphen,10995
cell=VT_1909_01_T-S0-A296,ALPHEN EN RIEL,alphen en riel,10710
cell=VT_1909_01_T-S0-A297,"Wijk A. Alphen, Marechaussee kazerne",alphen en riel,10710
cell=VT_1909_01_T-S0-A298,Wijk A. Het St. Willebrordusgesticht,alphen en riel,10710
cell=VT_1909_01_T-S0-A299,Wijk A. Overige huizen,alphen en riel,10710
cell=VT_1909_01_T-S0-A300,"Wijk B. Riel, Huizen",alphen en riel,10710
cell=VT_1909_01_T-S0-A301,Totaal,alphen en riel,10710
cell=VT_1909_01_T-S0-A302,AMBY,amby,10922
cell=VT_1909_01_T-S0-A303,"Kom, Marechaussée kazerne",amby,10922
cell=VT_1909_01_T-S0-A304,"Kom, Klooster v/h Heilig Hart",amby,10922
cell=VT_1909_01_T-S0-A305,"Kom, Overige huizen",amby,10922
cell=VT_1909_01_T-S0-A306,"Heidehoven, Huizen",amby,10922
cell=VT_1909_01_T-S0-A307,Totaal,amby,10922
cell=VT_1909_01_T-S0-A308,AMEIDE,ameide,11349
cell=VT_1909_01_T-S0-A309,Huizen,ameide,11349
cell=VT_1909_01_T-S0-A310,Tijd. Aanwezige schepen,ameide,11349
cell=VT_1909_01_T-S0-A311,Totaal,ameide,11349
cell=VT_1909_01_T-S0-A312,AMELAND,ameland,11153
cell=VT_1909_01_T-S0-A313,"Buren, Huizen",ameland,11153
