File name,Literal,Label,Code
cell=VT_1859_01_H1-S0-C241,buiten de kom. wijk ii toom,BuitenKom
cell=VT_1859_01_H1-S0-C242,buiten de kom. wijk ii berg,BuitenKom
cell=VT_1859_01_H1-S0-C243,buiten de kom. wijk ii grootschoot,BuitenKom
cell=VT_1859_01_H1-S0-C244,buiten de kom. wijk ii kleinschoot,BuitenKom
cell=VT_1859_01_H1-S0-C247,kom. dorp,BinnenKom
cell=VT_1859_01_H1-S0-C248,kom. schepen,BinnenKom
cell=VT_1859_01_H1-S0-C250,buiten de kom. hoogevaart,BuitenKom
cell=VT_1859_01_H1-S0-C251,buiten de kom. nieuwstraat,BuitenKom
cell=VT_1859_01_H1-S0-C252,buiten de kom. nieuwvaart,BuitenKom
cell=VT_1859_01_H1-S0-C253,buiten de kom. willem van gendsvaart,BuitenKom
cell=VT_1859_01_H1-S0-C254,buiten de kom. zandschel,BuitenKom
cell=VT_1859_01_H1-S0-C257,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C258,buiten de kom. wijk a meisberg,BuitenKom
cell=VT_1859_01_H1-S0-C259,buiten de kom. wijk a legen houtgoor,BuitenKom
cell=VT_1859_01_H1-S0-C260,buiten de kom. wijk a dijk en door,BuitenKom
cell=VT_1859_01_H1-S0-C261,buiten de kom. wijk a snijders,BuitenKom
cell=VT_1859_01_H1-S0-C262,buiten de kom. wijk a heikant,BuitenKom
cell=VT_1859_01_H1-S0-C263,buiten de kom. wijk a dassemus,BuitenKom
cell=VT_1859_01_H1-S0-C266,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C267,buiten de kom. wijk b deuteren,BuitenKom
cell=VT_1859_01_H1-S0-C269,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C270,kom. wijk a zandberg,BinnenKom
cell=VT_1859_01_H1-S0-C271,buiten de kom. wijk b heeswijk,BuitenKom
cell=VT_1859_01_H1-S0-C272,buiten de kom. wijk c vianen,BuitenKom
cell=VT_1859_01_H1-S0-C273,kom. wijk d st. agatha,BinnenKom
cell=VT_1859_01_H1-S0-C274,buiten de kom. wijk d st. agatha,BuitenKom
cell=VT_1859_01_H1-S0-C278,buiten de kom. wijk a schouw,BuitenKom
cell=VT_1859_01_H1-S0-C279,buiten de kom. wijk a wasberg,BuitenKom
cell=VT_1859_01_H1-S0-C280,buiten de kom. wijk a haageind,BuitenKom
cell=VT_1859_01_H1-S0-C281,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C282,buiten de kom. wijk a kerkeind,BuitenKom
cell=VT_1859_01_H1-S0-C283,buiten de kom. wijk b dorp,BuitenKom
cell=VT_1859_01_H1-S0-C284,buiten de kom. wijk b zeilberg,BuitenKom
cell=VT_1859_01_H1-S0-C285,buiten de kom. wijk b vreekwijk,BuitenKom
cell=VT_1859_01_H1-S0-C286,buiten de kom. wijk b hei en vloei-eind,BuitenKom
cell=VT_1859_01_H1-S0-C287,buiten de kom. wijk c liessel,BuitenKom
cell=VT_1859_01_H1-S0-C288,buiten de kom. wijk c heitrak,BuitenKom
cell=VT_1859_01_H1-S0-C289,buiten de kom. wijk c neerkant,BuitenKom
cell=VT_1859_01_H1-S0-C290,buiten de kom. wijk d helena veen,BuitenKom
cell=VT_1859_01_H1-S0-C291,buiten de kom. wijk d helena veen schepen,BuitenKom
cell=VT_1859_01_H1-S0-C297,wijk a langel kom,BinnenKom
cell=VT_1859_01_H1-S0-C298,wijk a langel buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C299,kom. wijk b demen,BinnenKom
cell=VT_1859_01_H1-S0-C300,buiten de kom. wijk b demen,BuitenKom
cell=VT_1859_01_H1-S0-C301,buiten de kom. wijk b demen schip,BuitenKom
cell=VT_1859_01_H1-S0-C302,kom. wijk c dieden,BinnenKom
cell=VT_1859_01_H1-S0-C306,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C307,buiten de kom. wijk a,BuitenKom
cell=VT_1859_01_H1-S0-C308,buiten de kom. wijk b haghorst,BuitenKom
cell=VT_1859_01_H1-S0-C309,buiten de kom. wijk c baarschot,BuitenKom
cell=VT_1859_01_H1-S0-C312,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C313,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C314,kom. wijk b schip,BinnenKom
cell=VT_1859_01_H1-S0-C316,buiten de kom. wijk c oudprinslandschepolder,BuitenKom
cell=VT_1859_01_H1-S0-C317,buiten de kom. wijk d koningsoordpolder,BuitenKom
cell=VT_1859_01_H1-S0-C320,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C321,buiten de kom. wijk b heilharen,BuitenKom
cell=VT_1859_01_H1-S0-C322,buiten de kom. wijk c hekkenhoek,BuitenKom
cell=VT_1859_01_H1-S0-C323,buiten de kom. wijk d doodenhoek,BuitenKom
cell=VT_1859_01_H1-S0-C324,buiten de kom. wijk e beugt,BuitenKom
cell=VT_1859_01_H1-S0-C325,buiten de kom. wijk f hazelberg,BuitenKom
cell=VT_1859_01_H1-S0-C326,buiten de kom. wijk g vorstenbosch,BuitenKom
cell=VT_1859_01_H1-S0-C327,buiten de kom. wijk h loosbroek,BuitenKom
cell=VT_1859_01_H1-S0-C328,buiten de kom. wijk i donk,BuitenKom
cell=VT_1859_01_H1-S0-C331,buiten de kom. langstraat,BuitenKom
cell=VT_1859_01_H1-S0-C332,buiten de kom. molenstraat,BuitenKom
cell=VT_1859_01_H1-S0-C334,kom,BinnenKom
cell=VT_1859_01_H1-S0-C336,buiten de kom. wijk a vaart,BuitenKom
cell=VT_1859_01_H1-S0-C337,buiten de kom. wijk a kleindongen,BuitenKom
cell=VT_1859_01_H1-S0-C338,buiten de kom. wijk a lagenham,BuitenKom
cell=VT_1859_01_H1-S0-C339,kom. wijk a lagenham,BinnenKom
cell=VT_1859_01_H1-S0-C340,kom. wijk a hoogenham,BinnenKom
cell=VT_1859_01_H1-S0-C341,buiten de kom. wijk a hoogenham,BuitenKom
cell=VT_1859_01_H1-S0-C342,buiten de kom. wijk b bergen,BuitenKom
cell=VT_1859_01_H1-S0-C343,buiten de kom. wijk b vennen,BuitenKom
cell=VT_1859_01_H1-S0-C344,buiten de kom. wijk b eind,BuitenKom
cell=VT_1859_01_H1-S0-C345,buiten de kom. wijk b heivelden,BuitenKom
cell=VT_1859_01_H1-S0-C346,kom. wijk b kruideniersstraat,BinnenKom
cell=VT_1859_01_H1-S0-C347,kom. wijk b kerkstraat,BinnenKom
cell=VT_1859_01_H1-S0-C348,kom. wijk b heuvel,BinnenKom
cell=VT_1859_01_H1-S0-C349,buiten de kom. wijk b heuvel,BuitenKom
cell=VT_1859_01_H1-S0-C350,buiten de kom. wijk b laagstraat,BuitenKom
cell=VT_1859_01_H1-S0-C351,buiten de kom. wijk b groenstraat,BuitenKom
cell=VT_1859_01_H1-S0-C360,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C361,buiten de kom. wijk b scheeding,BuitenKom
cell=VT_1859_01_H1-S0-C362,buiten de kom. wijk b wolfshoek of meeuwaard,BuitenKom
cell=VT_1859_01_H1-S0-C363,buiten de kom. wijk b kuiksche heide,BuitenKom
cell=VT_1859_01_H1-S0-C364,buiten de kom. wijk c giersbergen,BuitenKom
cell=VT_1859_01_H1-S0-C370,buiten de kom wijk a keer,BuitenKom
cell=VT_1859_01_H1-S0-C371,buiten de kom wijk a litsestraat,BuitenKom
cell=VT_1859_01_H1-S0-C372,kom wijk a kerksenhoek,BinnenKom
cell=VT_1859_01_H1-S0-C373,buiten de kom wijk a grinsel,BuitenKom
cell=VT_1859_01_H1-S0-C374,buiten de kom wijk b paterstraat,BuitenKom
cell=VT_1859_01_H1-S0-C375,buiten de kom wijk b wouw,BuitenKom
cell=VT_1859_01_H1-S0-C376,buiten de kom wijk b spurk,BuitenKom
cell=VT_1859_01_H1-S0-C377,buiten de kom wijk c hoek- en spekstraat,BuitenKom
cell=VT_1859_01_H1-S0-C378,buiten de kom wijk c roeldonk,BuitenKom
cell=VT_1859_01_H1-S0-C381,buiten de kom. wijk a muilkerk,BuitenKom
cell=VT_1859_01_H1-S0-C382,kom. wijk b muilkerk,BinnenKom
cell=VT_1859_01_H1-S0-C383,kom wijk b munsterkerk,BinnenKom
cell=VT_1859_01_H1-S0-C384,kom wijk b munsterkerk schip,BinnenKom
cell=VT_1859_01_H1-S0-C385,kom wijk c munsterkerk,BinnenKom
cell=VT_1859_01_H1-S0-C388,kom,BinnenKom
cell=VT_1859_01_H1-S0-C389,buiten de kom. de hees,BuitenKom
cell=VT_1859_01_H1-S0-C390,buiten de kom. schadewijk,BuitenKom
cell=VT_1859_01_H1-S0-C391,buiten de kom. stokkelen,BuitenKom
cell=VT_1859_01_H1-S0-C392,buiten de kom. boxheide,BuitenKom
cell=VT_1859_01_H1-S0-C393,buiten de kom. dijk,BuitenKom
cell=VT_1859_01_H1-S0-C402,buiten de kom. wijk a nieuwendijk,BuitenKom
cell=VT_1859_01_H1-S0-C403,buiten de kom. wijk b korndijk,BuitenKom
cell=VT_1859_01_H1-S0-C404,kom. wijk c,BinnenKom
cell=VT_1859_01_H1-S0-C405,buiten de kom. wijk d waardhuizen,BuitenKom
cell=VT_1859_01_H1-S0-C408,buiten de kom. crevecoeur,BuitenKom
cell=VT_1859_01_H1-S0-C409,buiten de kom. slot,BuitenKom
cell=VT_1859_01_H1-S0-C410,buiten de kom. wal,BuitenKom
cell=VT_1859_01_H1-S0-C411,buiten de kom. gewande,BuitenKom
cell=VT_1859_01_H1-S0-C413,kom. schanshoek,BinnenKom
cell=VT_1859_01_H1-S0-C414,kom. schanshoek schepen,BinnenKom
cell=VT_1859_01_H1-S0-C416,kom. wijk a dieskant,BinnenKom
cell=VT_1859_01_H1-S0-C417,kom. wijk a dieskant schip,BinnenKom
cell=VT_1859_01_H1-S0-C418,buiten de kom. wijk a de woert,BuitenKom
cell=VT_1859_01_H1-S0-C419,kom. wijk b kortesteeg,BinnenKom
cell=VT_1859_01_H1-S0-C420,kom. wijk b bovenweg,BinnenKom
cell=VT_1859_01_H1-S0-C421,kom. wijk b bulk,BinnenKom
cell=VT_1859_01_H1-S0-C422,kom. wijk c heuvel,BinnenKom
cell=VT_1859_01_H1-S0-C425,buiten de kom. wijk a dijk,BuitenKom
cell=VT_1859_01_H1-S0-C426,buiten de kom. wijk a bolst,BuitenKom
cell=VT_1859_01_H1-S0-C427,buiten de kom. wijk a oudvelt,BuitenKom
